address,id,latitude,longitude,city,name,zip code,Drive-Thru,Bagels in the Bou,Order Ahead,WiFi,Nitro on Tap,Catering,Walk-Up Window
"8360 Hansen Avenue Shakopee, MN",8865467,44.776611328125,-93.41214752197266,Shakopee,Coffee & Bagels Shakopee Crossing,55379,1,1,0,1,0,1,0
"920 West 78th Street Chanhassen, MN",8865465,44.86368179321289,-93.54473876953125,Chanhassen,Chanhassen - West 78th Street,55317,0,1,1,1,0,0,0
"800 West 78th Street Chanhassen, MN",8865710,44.86362838745117,-93.54169464111328,Chanhassen,Lunds & Byerlys - Chanhassen,55317,0,0,0,1,0,0,0
"77 Highway 5 West Waconia, MN",8865714,44.842872619628906,-93.78720092773438,Waconia,Waconia Bruegger's Bagels Co-Brand,55387,0,0,0,1,0,0,0
"401 Robert Street St. Paul, MN",8865371,44.94865036010742,-93.09229278564453,St. Paul,Securian Financial,55101,0,1,1,1,0,0,0
"115 East 10th Street St. Paul, MN",8865618,44.951351165771484,-93.09519958496094,St. Paul,Lunds & Byerlys - Downtown St. Paul,55101,0,0,0,0,0,0,0
"1055 Grand Avenue St. Paul, MN",8865366,44.94015884399414,-93.14443969726562,St. Paul,Grand I - Oxford,55105,0,1,1,1,0,0,0
"1720 Rice Street Maplewood, MN",8865383,44.99299240112305,-93.1054916381836,Maplewood,Rice & Larpenteur,55113,1,1,1,0,0,0,0
"68 Snelling Avenue South St. Paul, MN",8865390,44.93948745727539,-93.16642761230469,St. Paul,St. Paul - Grand & Snelling,55105,0,1,1,1,1,0,0
"1127 Larpenteur Avenue W Roseville, MN",8865382,44.99270248413086,-93.14762115478516,Roseville,Roseville - Lexington & Larpenteur,55113,0,1,1,1,1,0,0
"917 Washington Avenue SE Minneapolis, MN",8865345,44.974124908447266,-93.22480773925781,Minneapolis,Stadium Village,55414,0,1,1,0,1,0,0
"2111 Snelling Avenue North Roseville, MN",8865626,45.004722595214844,-93.16734313964844,Roseville,Har Mar Mall Bruegger's Co-Brand,55113,1,0,0,1,0,0,0
"604 Washington Ave SE Minneapolis, MN",10128890,44.97346115112305,-93.2298583984375,Minneapolis,Coffee & Bagels Harvard & Washington,55414,0,0,0,1,0,1,1
"515 Delaware Street SE Minneapolis, MN",8865609,44.97299575805664,-93.23165130615234,Minneapolis,University Of Minnesota - Moos Tower,55455,0,0,0,1,0,0,0
"1595 MN-36 W Roseville, MN",8865624,45.01274871826172,-93.17233276367188,Roseville,Rosedale Mall,55113,0,0,0,1,0,0,0
"1925 4th Street S Minneapolis, MN",9990966,44.96958923339844,-93.24459838867188,Minneapolis,UMN - Hanson Hall,55455,0,0,0,0,0,0,0
"1601 West County Road C Roseville, MN",8865623,45.02194595336914,-93.17064666748047,Roseville,Lunds & Byerlys - Roseville,55113,0,0,0,0,0,0,0
"2714 Lincoln Drive Roseville, MN",8865625,45.0224723815918,-93.16844940185547,Roseville,Roseville Crossing,55113,0,0,1,1,0,0,0
"509 Washington Avenue S Minneapolis, MN",8865348,44.978519439697266,-93.26102447509766,Minneapolis,5th & Washington,55415,0,1,1,1,1,0,0
"550 S 4th Street Minneapolis, MN",8865350,44.9769401550293,-93.26192474365234,Minneapolis,Coffee & Bagels Wells Fargo Tower,55415,0,1,0,1,0,1,0
"1700 66th Street East Richfield, MN",8865364,44.88389205932617,-93.24974060058594,Richfield,Cedar Point,55423,0,1,1,0,0,0,0
"1601 E 66th St Richfield, MN",9740254,44.88328552246094,-93.25102996826172,Richfield,Coffee & Bagels 66th & 16th,55423,1,1,0,1,0,1,0
"12569 Wayzata Boulevard Minnetonka, MN",8865479,44.96800231933594,-93.4371566772461,Minnetonka,Ridgedale Kiosk,55305,0,1,0,1,0,0,0
"1700 Plymouth Road Minnetonka, MN",8865482,44.96712112426758,-93.44329071044922,Minnetonka,Coffee & Bagels Minnetonka - Plymouth Road,55305,1,1,0,1,0,1,0
"13081 Ridgedale Drive Minnetonka, MN",8865718,44.96844482421875,-93.44717407226562,Minnetonka,Lunds & Byerlys - Ridgedale,55305,0,0,0,0,0,0,0
